"","Vaccine.Exemption","Dose","Geography.Type","Geography","School.Year","Estimate....","Population.Size","Percent.Surveyed","Footnotes","Number.of.Exemptions","Survey.Type"
"1","MMR (PAC)","MMR (PAC)","States","Kansas","2025-26",NA,"NULL","NULL","NULL","NULL","Stratified 2-stage cluster sample"
"2","Varicella","1 Dose (or disease history)","States","Arizona","2024-25","93.4","75024","97.4","NULL","NULL","Census"
"3","MMR (PAC)","MMR (PAC)","States","Texas","2025-26","95.2","358586","98.3","NULL","NULL","Census (pub.), vol. response (prv.)"
"4","MMR (PAC)","MMR (PAC)","States","New Jersey","2025-26","94.3","101602","92.3","NULL","NULL","Census"
"5","MMR (PAC)","MMR (PAC)","States","Tennessee","2025-26","95.2","73415","97.4","NULL","NULL","Census"
"6","Varicella","1 Dose (or disease history)","States","Florida","2024-25","NReq","221053","100",">=. *","NULL","Census"
"7","Varicella","1 Dose (or disease history)","States","Georgia","2024-25","NReq","114568","100",">=. *","NULL","Census"
"8","Varicella","1 Dose (or disease history)","States","Hawaii","2024-25","NReq","13804","10.5","NULL","NULL","Stratified 2-stage cluster sample"
"9","Varicella","1 Dose (or disease history)","States","Idaho","2024-25","NReq","22242","99.5","NULL","NULL","Census"
"10","Varicella","1 Dose (or disease history)","States","Illinois","2024-25","NReq","132769","99.5","NULL","NULL","Census"
"11","Varicella","1 Dose (or disease history)","States","Alabama","2024-25","98","53589","99.9","NULL","NULL","Census"
"12","MMR (PAC)","MMR (PAC)","States","Arizona","2025-26","90.4","73907","92.5","NULL","NULL","Census (pub.), vol. response (prv.)"
"13","Varicella","1 Dose (or disease history)","States","Oklahoma","2024-25","94","47544","86.7","‡","NULL","Vol. response"
"14","Varicella","1 Dose (or disease history)","States","District of Columbia","2025-26","NReq","7871","100","NULL","NULL","Census"
"15","Varicella","1 Dose (or disease history)","States","Iowa","2025-26","NReq","37490","100","NULL","NULL","Census"
"16","Varicella","1 Dose (or disease history)","States","North Dakota","2025-26","NReq","9344","98.6","NULL","NULL","Census"
"17","Varicella","1 Dose (or disease history)","States","Indiana","2025-26","NReq","70886","87.1","NULL","NULL","Vol. response"
"18","Varicella","1 Dose (or disease history)","States","Maryland","2025-26","NReq","66945","97.8","NULL","NULL","Census (pub.), vol. response (prv.)"
"19","Varicella","1 Dose (or disease history)","States","North Carolina","2025-26","NReq","120045","90.1","NULL","NULL","Census (pub.), vol. response (prv.)"
"20","Varicella","1 Dose (or disease history)","States","NY-City of New York","2025-26","NReq","82534","98.1","NULL","NULL","Census"
"21","Varicella","1 Dose (or disease history)","States","Massachusetts","2025-26","NReq","65331","100","NULL","NULL","Census"
"22","Varicella","1 Dose (or disease history)","States","Illinois","2025-26","NReq","128598","99.8","NULL","NULL","Census"
"23","Varicella","1 Dose (or disease history)","States","Michigan","2025-26","NReq","104614","100","NULL","NULL","Census"
"24","Varicella","1 Dose (or disease history)","States","Idaho","2025-26","NReq","21728","100","NULL","NULL","Census"
"25","Varicella","1 Dose (or disease history)","States","Wisconsin","2025-26","NReq","59360","96.6","NULL","NULL","Census (pub.), vol. response (prv.)"
"26","Varicella","1 Dose (or disease history)","States","West Virginia","2025-26","NReq","15445","93.3","NULL","NULL","Census"
"27","Varicella","1 Dose (or disease history)","States","Wyoming","2024-25","93.4","6564","100","*","NULL","Census"
"28","Varicella","1 Dose (or disease history)","States","Oregon","2024-25","93.3","38247","100","*. ‡","NULL","Census"
"29","Varicella","1 Dose (or disease history)","States","New Jersey","2024-25","92.8","104339","100",">=. *","NULL","Census"
"30","Varicella","1 Dose (or disease history)","States","Delaware","2024-25","NReq","10393","14.2","‡","NULL","2-stage cluster sample (pub.), nonrandom 2-stage cluster sample (prv.)"
"31","Varicella","1 Dose (or disease history)","States","Kansas","2025-26","NReq","NULL","NULL","NULL","NULL","Stratified 2-stage cluster sample"
"32","Varicella","1 Dose (or disease history)","States","Nebraska","2025-26","NReq","23807","100","NULL","NULL","Census"
"33","Varicella","1 Dose (or disease history)","States","Kentucky","2025-26","NReq","49937","100","NULL","NULL","Census"
"34","Varicella","1 Dose (or disease history)","States","Arkansas","2024-25","NReq","37570","96.4","NULL","NULL","Census (pub.), vol. response (prv.)"
"35","Varicella","1 Dose (or disease history)","States","District of Columbia","2024-25","NReq","7997","100","*","NULL","Census"
"36","Varicella","1 Dose (or disease history)","States","Rhode Island","2025-26","NReq","10123","97.1","NULL","NULL","Census"
"37","Varicella","1 Dose (or disease history)","States","Pennsylvania","2025-26","NReq","134313","95.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"38","Varicella","1 Dose (or disease history)","States","Delaware","2025-26","NReq","10729","12.9","NULL","NULL","2-stage cluster sample (pub.), nonrandom 2-stage cluster sample (prv.)"
"39","Varicella","1 Dose (or disease history)","States","Hawaii","2025-26","NReq","13791","11.7","NULL","NULL","Stratified 2-stage cluster sample"
"40","Varicella","1 Dose (or disease history)","States","South Dakota","2025-26","NReq","11009","100","NULL","NULL","Census"
"41","Varicella","1 Dose (or disease history)","States","Tennessee","2025-26","NReq","73415","97.4","NULL","NULL","Census"
"42","Varicella","1 Dose (or disease history)","States","Texas","2025-26","NReq","358586","98.3","NULL","NULL","Census (pub.), vol. response (prv.)"
"43","Varicella","1 Dose (or disease history)","States","TX-City of Houston","2025-26","NReq","36071","94.6","NULL","NULL","Census (pub.), vol. response (prv.)"
"44","Varicella","1 Dose (or disease history)","States","Colorado","2025-26","NReq","60049","100","NULL","NULL","Census"
"45","Varicella","2 Doses (or disease history)","States","Arkansas","2009-10","NReq","34733","100","*","NULL","Census"
"46","Varicella","2 Doses (or disease history)","States","Arizona","2009-10","NReq","89287","93.9","NULL","NULL","Census"
"47","Varicella","2 Doses (or disease history)","States","Alabama","2009-10","NReq","75358","100","*. **","NULL","Census"
"48","Varicella","2 Doses (or disease history)","States","Alaska","2009-10",NA,"9641","76.4","NULL","NULL","Voluntary response"
"49","Varicella","2 Doses (or disease history)","States","Iowa","2009-10","84.5","42698","100","≥","NULL","Census"
"50","Varicella","2 Doses (or disease history)","States","Kansas","2009-10","85.3","39073","39.1","†","NULL","Stratified 1-stage sample  (Public);  Census (Private)"
"51","Varicella","2 Doses (or disease history)","States","Rhode Island","2009-10","86.9","11818","11.6","NULL","NULL","Random sample"
"52","Varicella","2 Doses (or disease history)","States","Vermont","2009-10","88.2","6713","100","*","NULL","Census"
"53","Varicella","2 Doses (or disease history)","States","West Virginia","2009-10","88.4","22730","86.7","NULL","NULL","Voluntary response"
"54","Varicella","2 Doses (or disease history)","States","Washington","2009-10","88.6","81511","93.3","NULL","NULL","Census"
"55","Varicella","2 Doses (or disease history)","States","Delaware","2009-10","89","11327","9.2","NULL","NULL","Random sample"
"56","Varicella","2 Doses (or disease history)","States","North Dakota","2009-10","89.6","8323","6","¶","NULL","Random sample"
"57","Varicella","2 Doses (or disease history)","States","Wisconsin","2009-10","90.3","61095","2.3","¶","NULL","Random sample"
"58","Varicella","2 Doses (or disease history)","States","Florida","2009-10","91.3","218630","100","≥. * .§","NULL","Census"
"59","Varicella","2 Doses (or disease history)","States","Louisiana","2009-10","93.7","53846","100","*","NULL","Census"
"60","Varicella","2 Doses (or disease history)","States","Minnesota","2009-10","94","70653","100","*","NULL","Census"
"61","Varicella","2 Doses (or disease history)","States","New Mexico","2009-10","94.9","26318","2.2","NULL","NULL","Random sample"
"62","Varicella","2 Doses (or disease history)","States","Texas","2009-10","96.8","381425","98.3","NULL","NULL","Census"
"63","Varicella","1 Dose (or disease history)","States","Indiana","2024-25","NReq","73744","92.7","§","NULL","Census (pub.), vol. response (prv.)"
"64","Varicella","1 Dose (or disease history)","States","Iowa","2024-25","NReq","38268","100",">=. *","NULL","Census"
"65","Varicella","1 Dose (or disease history)","States","Oregon","2025-26","92.9","37309","100","NULL","NULL","Census"
"66","Varicella","1 Dose (or disease history)","States","Oklahoma","2025-26","92.9","47844","90.7","NULL","NULL","Census (pub.), vol. response (prv.)"
"67","Varicella","1 Dose (or disease history)","States","Wyoming","2025-26","92.6","6146","100","NULL","NULL","Census"
"68","Varicella","2 Doses (or disease history)","States","Oregon","2009-10","NReq","44676","100","*","NULL","Census"
"69","Varicella","2 Doses (or disease history)","States","Pennsylvania","2009-10","NReq","149656","100","*","NULL","Census"
"70","Varicella","1 Dose (or disease history)","States","New Jersey","2025-26","92.5","101602","92.3","NULL","NULL","Census"
"71","Varicella","1 Dose (or disease history)","States","Arizona","2025-26","92.3","73907","92.5","NULL","NULL","Census (pub.), vol. response (prv.)"
"72","Varicella","1 Dose (or disease history)","States","Georgia","2025-26","NReq","118864","100","NULL","NULL","Census"
"73","Varicella","1 Dose (or disease history)","States","Florida","2025-26","NReq","213535","100","NULL","NULL","Census"
"74","Varicella","2 Doses (or disease history)","States","California","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"75","Varicella","2 Doses (or disease history)","States","Colorado","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"76","Varicella","2 Doses (or disease history)","States","Connecticut","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"77","Varicella","2 Doses (or disease history)","States","Delaware","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"78","Varicella","2 Doses (or disease history)","States","District of Columbia","2010-11",NA,"NULL","NULL","NULL","NULL",NA
"79","Varicella","2 Doses (or disease history)","States","Florida","2010-11",NA,"NULL","NULL","NULL","NULL",NA
