"","vaccine","state_name","vaccine_coverage_estimate"
"1","DTP, DTaP, or DT","Oregon","89.6"
"2","DTP, DTaP, or DT","District of Columbia","90.3"
"3","DTP, DTaP, or DT","Kentucky","86.2"
"4","DTP, DTaP, or DT","New Mexico","94.5"
"5","DTP, DTaP, or DT","Pennsylvania","92.7"
"6","DTP, DTaP, or DT","New York","97.2"
"7","DTP, DTaP, or DT","Utah","88.1"
"8","DTP, DTaP, or DT","Minnesota","87.0"
"9","DTP, DTaP, or DT","Alaska","82.2"
"10","DTP, DTaP, or DT","Missouri","90.0"
"11","DTP, DTaP, or DT","Nevada","90.3"
"12","DTP, DTaP, or DT","Wyoming","92.5"
"13","DTP, DTaP, or DT","Idaho","78.3"
"14","DTP, DTaP, or DT","Vermont","93.3"
"15","DTP, DTaP, or DT","Michigan","91.6"
"16","DTP, DTaP, or DT","TX-City of San Antonio","94.3"
"17","DTP, DTaP, or DT","Maryland","96.6"
"18","DTP, DTaP, or DT","Louisiana","95.3"
"19","DTP, DTaP, or DT","Hawaii","91.5"
"20","DTP, DTaP, or DT","Tennessee","94.0"
"21","DTP, DTaP, or DT","Florida","88.8"
"22","DTP, DTaP, or DT","Indiana","81.7"
"23","DTP, DTaP, or DT","Kansas","90.8"
"24","DTP, DTaP, or DT","Washington","89.7"
"25","DTP, DTaP, or DT","North Dakota","89.7"
"26","DTP, DTaP, or DT","Illinois","91.2"
"27","DTP, DTaP, or DT","Colorado","87.4"
"28","DTP, DTaP, or DT","South Carolina","91.8"
"29","DTP, DTaP, or DT","California","95.1"
"30","DTP, DTaP, or DT","Delaware","94.8"
"31","DTP, DTaP, or DT","Texas","92.9"
"32","DTP, DTaP, or DT","Oklahoma","89.5"
"33","DTP, DTaP, or DT","Arizona","88.7"
"34","DTP, DTaP, or DT","Wisconsin","85.7"
"35","DTP, DTaP, or DT","Rhode Island","96.7"
"36","DTP, DTaP, or DT","Maine","97.3"
"37","DTP, DTaP, or DT","Connecticut","98.2"
"38","DTP, DTaP, or DT","Virginia","98.2"
"39","DTP, DTaP, or DT","Ohio","88.8"
"40","DTP, DTaP, or DT","Georgia","86.8"
"41","DTP, DTaP, or DT","Iowa","88.8"
"42","DTP, DTaP, or DT","South Dakota","89.6"
"43","DTP, DTaP, or DT","Nebraska","95.1"
"44","DTP, DTaP, or DT","New Hampshire","89.2"
"45","DTP, DTaP, or DT","Alabama","95.0"
"46","DTP, DTaP, or DT","Arkansas","88.5"
"47","DTP, DTaP, or DT","Mississippi","97.6"
"48","DTP, DTaP, or DT","New Jersey","92.8"
"49","DTP, DTaP, or DT","United States","92.1"
"50","DTP, DTaP, or DT","Massachusetts","96.3"
"51","DTP, DTaP, or DT","North Carolina","94.0"
