"","vaccine","state_name","vaccine_coverage_estimate"
"1","Varicella","Oregon","93.3"
"2","Varicella","Kentucky","86.2"
"3","Varicella","New Mexico","94.2"
"4","Varicella","Pennsylvania","92.1"
"5","Varicella","New York","97.5"
"6","Varicella","Utah","88.1"
"7","Varicella","Minnesota","86.7"
"8","Varicella","Alaska","79.6"
"9","Varicella","Missouri","89.5"
"10","Varicella","Nevada","90.5"
"11","Varicella","Wyoming","93.4"
"12","Varicella","Idaho","78.1"
"13","Varicella","Vermont","92.9"
"14","Varicella","Michigan","91.3"
"15","Varicella","TX-City of San Antonio","94.1"
"16","Varicella","Maryland","96.0"
"17","Varicella","Louisiana","92.2"
"18","Varicella","Hawaii","89.5"
"19","Varicella","Tennessee","94.1"
"20","Varicella","Florida","88.8"
"21","Varicella","Indiana","90.3"
"22","Varicella","Kansas","89.4"
"23","Varicella","Washington","89.5"
"24","Varicella","North Dakota","89.7"
"25","Varicella","Illinois","91.3"
"26","Varicella","Colorado","86.8"
"27","Varicella","South Carolina","90.6"
"28","Varicella","California","95.7"
"29","Varicella","Delaware","93.6"
"30","Varicella","Texas","92.6"
"31","Varicella","Oklahoma","94.0"
"32","Varicella","Arizona","93.4"
"33","Varicella","Wisconsin","84.0"
"34","Varicella","Rhode Island","96.1"
"35","Varicella","Maine","97.4"
"36","Varicella","Connecticut","98.1"
"37","Varicella","Virginia","95.3"
"38","Varicella","Ohio","87.8"
"39","Varicella","Georgia","86.8"
"40","Varicella","Iowa","88.8"
"41","Varicella","South Dakota","89.3"
"42","Varicella","Nebraska","93.8"
"43","Varicella","New Hampshire","89.2"
"44","Varicella","Alabama","98.0"
"45","Varicella","Arkansas","89.2"
"46","Varicella","Mississippi","97.6"
"47","Varicella","New Jersey","92.8"
"48","Varicella","United States","92.3"
"49","Varicella","Massachusetts","96.0"
"50","Varicella","North Carolina","93.8"
