"vaccine","state_name","observed_coverage_estimate","predicted_coverage_estimate","vaccine_coverage_estimate","coverage_source","prediction_lower_80","prediction_upper_80","prediction_lower_95","prediction_upper_95","prediction_model","predictor_values_imputed"
"nirsevimab","Alabama",33.7647141010863,39.1301605412454,33.7647141010863,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Alaska",NA,41.4519850134547,41.4519850134547,"predicted",34.0633007255601,49.9394781693756,29.0314702801578,53.8812099558509,"knn7",FALSE
"nirsevimab","Arizona",NA,43.4691640527494,43.4691640527494,"predicted",36.0804797648548,51.9566572086703,31.0486493194525,55.8983889951456,"knn7",FALSE
"nirsevimab","Arkansas",43.0351695159155,40.2334686943071,43.0351695159155,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","California",42.7176028404617,40.263987404545,42.7176028404617,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Colorado",NA,40.9737237135599,40.9737237135599,"predicted",33.5850394256653,49.4612168694808,28.553208980263,53.4029486559561,"knn7",FALSE
"nirsevimab","Connecticut",NA,44.5123509208109,44.5123509208109,"predicted",37.1236666329163,52.9998440767318,32.091836187514,56.9415758632071,"knn7",FALSE
"nirsevimab","Delaware",NA,41.956035243569,41.956035243569,"predicted",34.5673509556744,50.4435283994899,29.5355205102721,54.3852601859652,"knn7",FALSE
"nirsevimab","Florida",29.1249576218261,40.2334686943071,29.1249576218261,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Georgia",35.7256842257203,40.2334686943071,35.7256842257203,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Hawaii",NA,41.1969248788873,41.1969248788873,"predicted",33.8082405909927,49.6844180348082,28.7764101455904,53.6261498212835,"knn7",FALSE
"nirsevimab","Idaho",NA,41.6037535131559,41.6037535131559,"predicted",34.2150692252613,50.0912466690767,29.183238779859,54.0329784555521,"knn7",FALSE
"nirsevimab","Illinois",NA,43.774850133253,43.774850133253,"predicted",36.3861658453584,52.2623432891739,31.3543353999561,56.2040750756492,"knn7",FALSE
"nirsevimab","Indiana",46.0771520871603,40.9737237135599,46.0771520871603,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Iowa",41.4727613586237,41.787677005526,41.4727613586237,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Kansas",NA,41.7831825730911,41.7831825730911,"predicted",34.3944982851965,50.270675729012,29.3626678397942,54.2124075154873,"knn7",FALSE
"nirsevimab","Kentucky",42.2441679034897,40.2334686943071,42.2441679034897,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Louisiana",45.8829699557953,40.2334686943071,45.8829699557953,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Maine",NA,44.6901854182163,44.6901854182163,"predicted",37.3015011303217,53.1776785741372,32.2696706849194,57.1194103606125,"knn7",FALSE
"nirsevimab","Maryland",NA,44.5123509208109,44.5123509208109,"predicted",37.1236666329163,52.9998440767318,32.091836187514,56.9415758632071,"knn7",FALSE
"nirsevimab","Massachusetts",NA,45.533177553764,45.533177553764,"predicted",38.1444932658694,54.0206707096848,33.112662820467,57.9624024961602,"knn7",FALSE
"nirsevimab","Michigan",NA,43.8850510682339,43.8850510682339,"predicted",36.4963667803393,52.3725442241548,31.464536334937,56.3142760106301,"knn7",FALSE
"nirsevimab","Minnesota",NA,40.9737237135599,40.9737237135599,"predicted",33.5850394256653,49.4612168694808,28.553208980263,53.4029486559561,"knn7",FALSE
"nirsevimab","Mississippi",39.8981883515496,39.2018492395225,39.8981883515496,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Missouri",38.3089832475377,43.6463178921382,38.3089832475377,"observed",NA,NA,NA,NA,NA,FALSE
"nirsevimab","Montana",31.7589720868409,37.5796507049405,31.7589720868409,"observed",NA,NA,NA,NA,NA,TRUE
"nirsevimab","Nebraska",NA,43.774850133253,43.774850133253,"predicted",36.3861658453584,52.2623432891739,31.3543353999561,56.2040750756492,"knn7",FALSE
"nirsevimab","Nevada",NA,37.5796507049405,37.5796507049405,"predicted",30.1909664170459,46.0671438608614,25.1591359716436,50.0088756473367,"knn7",FALSE
"nirsevimab","New Hampshire",NA,42.2067139335069,42.2067139335069,"predicted",34.8180296456123,50.6942070894278,29.78619920021,54.6359388759031,"knn7",FALSE
"nirsevimab","New Jersey",NA,41.5038399413785,41.5038399413785,"predicted",34.1151556534839,49.9913330972994,29.0833252080816,53.9330648837747,"knn7",FALSE
"nirsevimab","New Mexico",43.1438935912938,43.189025463516,43.1438935912938,"observed",NA,NA,NA,NA,NA,FALSE
