jurisdiction,medical,religious,personal_belief,nonmedical_any,comment,source_year,source_url
Alabama,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Alaska,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Arizona,True,True,True,True,religious: childcare only personal belief: K–12 only,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Arkansas,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
California,True,False,False,False,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Colorado,True,True,True,True,religious and personal belief combined under category of “nonmedical exemption”,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Connecticut,True,False,False,False,"religious exemption repealed in 2021, but students enrolled in K–12 with valid exemption on file when law passed (April 28, 2020) allowed to maintain exemption through Gr 12",2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Delaware,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
District of Columbia,True,True,True,True,personal belief: allowed for HPV only,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Florida,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Georgia,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Hawaii,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Idaho,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Illinois,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Indiana,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Iowa,True,True,False,True,"requirement for notary signature for religious exemption removed July 1, 2024",2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Kansas,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Kentucky,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Louisiana,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Maine,True,False,False,False,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Maryland,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Massachusetts,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Michigan,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Minnesota,True,False,True,True,childcare only: centers have option not to enroll child with non-medical exemption,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Mississippi,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Missouri,True,True,True,True,personal belief: childcare only,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Montana,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Nebraska,True,True,True,True,personal belief: childcare only,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Nevada,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
New Hampshire,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
New Jersey,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
New Mexico,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
New York,True,False,False,False,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
North Carolina,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
North Dakota,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Ohio,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Oklahoma,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Oregon,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Pennsylvania,True,True,True,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
Rhode Island,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
South Carolina,True,True,False,True,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/exemptions-child-school-2026/
