jurisdiction,vaccine,setting,required,required_bool,doses_required,grades_included,age_or_grade,population_subject,type_of_institution,year_first_implemented,historical_note,comment,note_1dose,note_dose_age16,source_year,source_url
Alabama,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Alabama,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Alaska,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Alaska,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Arizona,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Arizona,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Arkansas,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Arkansas,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
California,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
California,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Colorado,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Colorado,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Connecticut,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Connecticut,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Delaware,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Delaware,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
District of Columbia,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
District of Columbia,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Florida,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Florida,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Georgia,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Georgia,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Hawaii,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Hawaii,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Idaho,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Idaho,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Illinois,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Illinois,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Indiana,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Indiana,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Iowa,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Iowa,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Kansas,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Kansas,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Kentucky,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Kentucky,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Louisiana,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Louisiana,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Maine,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Maine,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Maryland,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Maryland,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Massachusetts,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Massachusetts,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Michigan,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Michigan,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Minnesota,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Minnesota,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Mississippi,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Mississippi,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Missouri,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Missouri,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Montana,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Montana,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Nebraska,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Nebraska,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Nevada,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Nevada,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New Hampshire,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New Hampshire,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New Jersey,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New Jersey,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New Mexico,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New Mexico,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New York,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
New York,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
North Carolina,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
North Carolina,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
North Dakota,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
North Dakota,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Ohio,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Ohio,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Oklahoma,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Oklahoma,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Oregon,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Oregon,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Pennsylvania,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Pennsylvania,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Rhode Island,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Rhode Island,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
South Carolina,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
South Carolina,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
South Dakota,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
South Dakota,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Tennessee,COVID-19,Childcare,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
Tennessee,COVID-19,School,,False,,,,,,,,,,,2026,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/covid-child-school-2026/
