jurisdiction,vaccine,setting,field,value,source_year,source_url
Alabama,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Alabama,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Alaska,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Alaska,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Arizona,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Arizona,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Arkansas,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Arkansas,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
California,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
California,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Colorado,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Colorado,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Connecticut,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Connecticut,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Delaware,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Delaware,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
District of Columbia,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
District of Columbia,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Florida,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Florida,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Georgia,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Georgia,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Hawaii,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Hawaii,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Idaho,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Idaho,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Illinois,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Illinois,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Indiana,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Indiana,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Iowa,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Iowa,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Kansas,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Kansas,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Kentucky,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Kentucky,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Louisiana,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Louisiana,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Maine,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Maine,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Maryland,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Maryland,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Massachusetts,DTaP,Childcare,required,yes,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
Massachusetts,DTaP,Childcare,year_first_implemented,longstanding,2025,https://www.immunize.org/official-guidance/state-policies/vaccine-requirements/dtap-child-school-2025/
