"","disease","state_name","age_group","age_group_population","percent_decline","accrual_years","accrual_label","baseline_coverage","cases","additional_cases","cases_per_100k","additional_cases_per_100k","hospitalizations","additional_hospitalizations","hospitalizations_per_100k","additional_hospitalizations_per_100k","deaths","additional_deaths","deaths_per_100k","additional_deaths_per_100k","workdays_lost","additional_workdays_lost","workdays_lost_per_100k","additional_workdays_lost_per_100k","productivity_cost","additional_productivity_cost","productivity_cost_per_100k","additional_productivity_cost_per_100k","hospitalization_cost","additional_hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost_per_100k","total_cost","additional_total_cost","total_cost_per_100k","additional_total_cost_per_100k","vaccine_adverse_events","vaccine_adverse_events_per_100k","vaccine_adverse_events_avoided","vaccine_adverse_events_avoided_per_100k"
"1","Hib","Alabama","All ages",5054253,0,1,"1 Year",0.878,2.12284843767881,0,0.0420012302051127,0,2.01670601579487,0,0.039901168694857,0,0.0849139375071525,0,0.00168004920820451,0,21.2284843767881,0,0.420012302051127,0,4245.69687535763,0,84.0024604102253,0,51583.3064720012,0,1020.59209287705,0,55829.0033473589,0,1104.59455328728,0,0.0516996252,0.0010228934958341,0,0
"2","Hib","Alabama","All ages",5054253,0,5,"5 Years",0.878,2.12344792331917,0,0.0420130912188046,0,2.01727552715321,0,0.0399124366578644,0,0.0849379169327668,0,0.00168052364875218,0,21.2344792331917,0,0.420130912188046,0,4246.89584663834,0,84.0261824376092,0,51597.8734335248,0,1020.88030483486,0,55844.7692801631,0,1104.90648727246,0,0.0516996252,0.0010228934958341,0,0
"3","Hib","Alabama","All ages",5054253,0,10,"10 Years",0.878,2.12344683981986,0,0.0420130697814269,0,2.01727449782887,0,0.0399124162923556,0,0.0849378735927945,0,0.00168052279125708,0,21.2344683981986,0,0.420130697814269,0,4246.89367963973,0,84.0261395628538,0,51597.8471054668,0,1020.87978392587,0,55844.7407851066,0,1104.90592348872,0,0.0516996252,0.0010228934958341,0,0
"4","Hib","Alabama","All ages",5054253,0,20,"20 Years",0.878,2.1234452474694,0,0.0420130382762675,0,2.01727298509593,0,0.0399123863624541,0,0.0849378098987759,0,0.0016805215310507,0,21.234452474694,0,0.420130382762675,0,4246.89049493879,0,84.0260765525349,0,51597.8084127836,0,1020.87901837885,0,55844.6989077224,0,1104.90509493139,0,0.0516996252,0.0010228934958341,0,0
"5","Hib","Alabama","All ages",5054253,5,1,"1 Year",0.878,2.14736328814767,0.024514850468859,0.0424862643035019,0.000485034098389199,2.03999512374029,0.023289107945416,0.0403619510883268,0.000460782393469738,0.0858945315259069,0.00098059401875436,0.00169945057214007,1.94013639355679e-05,21.4736328814767,0.24514850468859,0.424862643035019,0.00485034098389199,4294.72657629534,49.0297009377181,84.9725286070037,0.970068196778398,52178.9952750291,595.688803027853,1032.37798493722,11.785892060169,56473.7218513244,644.718503965571,1117.35051354423,12.7559602569474,0.0487554552,0.000964642157802547,0.00294417000000001,5.8251338031555e-05
"6","Hib","Alabama","All ages",5054253,5,5,"5 Years",0.878,2.28393367949349,0.160485756174326,0.0451883528484525,0.00317526162964786,2.16973699551882,0.152461468365609,0.0429289352060298,0.00301649854816546,0.0913573471797398,0.00641943024697303,0.0018075341139381,0.000127010465185914,22.8393367949349,1.60485756174326,0.451883528484525,0.0317526162964786,4567.86735898699,320.971512348652,90.376705696905,6.35052325929572,55497.5328713804,3899.65943785556,1098.03630469983,77.1559998649762,60065.4002303674,4220.63095020421,1188.41301039674,83.506523124272,0.0487554552,0.000964642157802547,0.00294417000000001,5.8251338031555e-05
"7","Hib","Alabama","All ages",5054253,5,10,"10 Years",0.878,2.33795795525041,0.214511115430552,0.0462572402934799,0.00424417051205295,2.22106005748789,0.203785559659024,0.0439443782788059,0.0040319619864503,0.0935183182100166,0.00858044461722206,0.00185028961173919,0.000169766820482118,23.3795795525041,2.14511115430552,0.462572402934799,0.0424417051205295,4675.91591050083,429.022230861103,92.5144805869597,8.4883410241059,56810.2741504253,5212.42704495852,1124.0093076153,103.129523689426,61486.1900609262,5641.44927581962,1216.52378820226,111.617864713532,0.0487554552,0.000964642157802547,0.00294417000000001,5.8251338031555e-05
"8","Hib","Alabama","All ages",5054253,5,20,"20 Years",0.878,2.43716200396062,0.313716756491226,0.0482200238880132,0.0062069856117457,2.31530390376259,0.298030918666664,0.0458090226936125,0.00589663633115842,0.0974864801584249,0.012548670259649,0.00192880095552053,0.000248279424469828,24.3716200396062,3.13716756491226,0.482200238880132,0.062069856117457,4874.32400792125,627.433512982451,96.4400477760264,12.4139712234914,59220.8432504396,7623.03483765594,1171.70318245722,150.82416407837,64095.1672583608,8250.46835063839,1268.14323023325,163.238135301861,0.0487554552,0.000964642157802547,0.00294417000000001,5.8251338031555e-05
"9","Hib","Alabama","All ages",5054253,10,1,"1 Year",0.878,2.17197002895844,0.0491215912796309,0.042973116481475,0.000971886276362322,2.06337152751052,0.0466655117156494,0.0408244606574012,0.000923291962544205,0.0868788011583378,0.00196486365118524,0.001718924659259,3.88754510544929e-05,21.7197002895844,0.491215912796309,0.42973116481475,0.00971886276362321,4343.94005791689,98.2431825592619,85.94623296295,1.94377255272464,52776.9169306641,1193.61045866288,1044.20805469501,23.6159618179557,57120.856988581,1291.85364122214,1130.15428765796,25.5597343706803,0.0458112852,0.000906390819770993,0.00588834,0.00011650267606311
"10","Hib","Alabama","All ages",5054253,10,5,"5 Years",0.878,2.44814741640386,0.324699493084687,0.048437373760353,0.00642428254154842,2.32574004558366,0.308464518430453,0.0460155050723354,0.006103068414471,0.0979258966561543,0.0129879797233875,0.00193749495041412,0.000256971301661937,24.4814741640386,3.24699493084687,0.48437373760353,0.0642428254154842,4896.29483280771,649.398986169375,96.8747475207061,12.8485650830968,59487.7788859389,7889.90545241413,1176.98458874019,156.104283905339,64384.0737187467,8539.3044385835,1273.8593362609,168.952848988436,0.0458112852,0.000906390819770993,0.00588834,0.00011650267606311
